date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:32:06	90864/90864	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-162f0%22	https://dashui.codescandy.com/dashuipro/pages/project-files.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/project-files.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:07	88755/88755	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-15ab3%22	https://dashui.codescandy.com/dashuipro/pages/project-team.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/project-team.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:08	56831/56831	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-ddff%22	https://dashui.codescandy.com/dashuipro/pages/add-project.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/add-project.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:09	72096/72096	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-119a0%22	https://dashui.codescandy.com/dashuipro/pages/apps-file-manager.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/apps-file-manager.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:10	61558/61558	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-f076%22	https://dashui.codescandy.com/dashuipro/pages/crm-contacts.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/crm-contacts.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:11	61240/61240	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-ef38%22	https://dashui.codescandy.com/dashuipro/pages/crm-company.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/crm-company.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:12	106806/106806	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-1a136%22	https://dashui.codescandy.com/dashuipro/pages/invoice-list.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/invoice-list.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:13	49787/49787	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-c27b%22	https://dashui.codescandy.com/dashuipro/pages/invoice-detail.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/invoice-detail.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:14	49905/49905	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-c2f1%22	https://dashui.codescandy.com/dashuipro/pages/invoice-generator.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/invoice-generator.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:15	90731/90731	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-1626b%22	https://dashui.codescandy.com/dashuipro/pages/profile-overview.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/profile-overview.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:16	84620/84620	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-14a8c%22	https://dashui.codescandy.com/dashuipro/pages/profile-project.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/profile-project.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:17	78003/78003	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-130b3%22	https://dashui.codescandy.com/dashuipro/pages/profile-files.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/profile-files.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:18	73374/73374	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-11e9e%22	https://dashui.codescandy.com/dashuipro/pages/profile-team.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/profile-team.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:19	60517/60517	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-ec65%22	https://dashui.codescandy.com/dashuipro/pages/profile-followers.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/profile-followers.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:20	85471/85471	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-14ddf%22	https://dashui.codescandy.com/dashuipro/pages/profile-activity.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/profile-activity.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:21	79547/79547	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-136bb%22	https://dashui.codescandy.com/dashuipro/pages/profile-settings.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/profile-settings.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:22	60623/60623	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-eccf%22	https://dashui.codescandy.com/dashuipro/pages/blog-author.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/blog-author.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:23	71903/71903	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-118df%22	https://dashui.codescandy.com/dashuipro/pages/blog-author-detail.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/blog-author-detail.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:24	54460/54460	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-d4bc%22	https://dashui.codescandy.com/dashuipro/pages/create-blog-post.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/create-blog-post.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:25	44430/44430	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-ad8e%22	https://dashui.codescandy.com/dashuipro/pages/starter.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/starter.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:26	58799/58799	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-e5af%22	https://dashui.codescandy.com/dashuipro/pages/pricing.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/pricing.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:27	3991/3991	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-f97%22	https://dashui.codescandy.com/dashuipro/pages/maintenance.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/maintenance.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:28	2353/2353	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-931%22	https://dashui.codescandy.com/dashuipro/pages/404-error.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/404-error.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:29	4259/4259	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-10a3%22	https://dashui.codescandy.com/dashuipro/pages/sign-in.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/sign-in.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:30	5053/5053	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-13bd%22	https://dashui.codescandy.com/dashuipro/pages/sign-up.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/sign-up.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:31	3172/3172	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-c64%22	https://dashui.codescandy.com/dashuipro/pages/forget-password.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/forget-password.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:32	89674/89674	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-15e4a%22	https://dashui.codescandy.com/dashuipro/horizontal/index.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/horizontal/index.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:33	96788/96788	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-17a14%22	https://dashui.codescandy.com/dashuipro/pages/components/accordions.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/accordions.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:34	112206/112206	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-1b64e%22	https://dashui.codescandy.com/dashuipro/pages/components/alerts.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/alerts.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:35	108088/108088	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-1a638%22	https://dashui.codescandy.com/dashuipro/pages/components/badge.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/badge.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:36	65005/65005	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-fded%22	https://dashui.codescandy.com/dashuipro/pages/components/breadcrumb.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/breadcrumb.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:37	142191/142191	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-22b6f%22	https://dashui.codescandy.com/dashuipro/pages/components/buttons.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/buttons.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:38	155675/155675	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-2601b%22	https://dashui.codescandy.com/dashuipro/pages/components/button-group.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/button-group.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:39	174140/174140	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-2a83c%22	https://dashui.codescandy.com/dashuipro/pages/components/card.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/card.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:40	200372/200372	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-30eb4%22	https://dashui.codescandy.com/dashuipro/pages/components/carousel.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/carousel.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:41	57289/57289	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-dfc9%22	https://dashui.codescandy.com/dashuipro/pages/components/close-button.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/close-button.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:42	77798/77798	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-12fe6%22	https://dashui.codescandy.com/dashuipro/pages/components/collapse.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/collapse.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:43	465141/465141	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-718f5%22	https://dashui.codescandy.com/dashuipro/pages/components/dropdowns.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/dropdowns.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:44	225296/225296	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-37010%22	https://dashui.codescandy.com/dashuipro/pages/components/forms.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/forms.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:45	165084/165084	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-284dc%22	https://dashui.codescandy.com/dashuipro/pages/components/list-group.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/list-group.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:46	197436/197436	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-3033c%22	https://dashui.codescandy.com/dashuipro/pages/components/modal.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/modal.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:47	204569/204569	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-31f19%22	https://dashui.codescandy.com/dashuipro/pages/components/navs-tabs.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/navs-tabs.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:48	96446/96446	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-178be%22	https://dashui.codescandy.com/dashuipro/pages/components/navbar.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/navbar.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:49	124213/124213	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-1e535%22	https://dashui.codescandy.com/dashuipro/pages/components/offcanvas.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/offcanvas.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:50	119461/119461	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-1d2a5%22	https://dashui.codescandy.com/dashuipro/pages/components/pagination.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/pagination.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:51	83644/83644	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-146bc%22	https://dashui.codescandy.com/dashuipro/pages/components/placeholders.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/placeholders.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:52	70469/70469	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-11345%22	https://dashui.codescandy.com/dashuipro/pages/components/popovers.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/popovers.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:53	111240/111240	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-1b288%22	https://dashui.codescandy.com/dashuipro/pages/components/progress.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/progress.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:54	124334/124334	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-1e5ae%22	https://dashui.codescandy.com/dashuipro/pages/components/scrollspy.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/scrollspy.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:55	129607/129607	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-1fa47%22	https://dashui.codescandy.com/dashuipro/pages/components/spinners.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/spinners.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:56	314445/314445	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-4cc4d%22	https://dashui.codescandy.com/dashuipro/pages/components/tables.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/tables.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:57	150006/150006	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-249f6%22	https://dashui.codescandy.com/dashuipro/pages/components/toasts.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/toasts.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:58	55063/55063	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-d717%22	https://dashui.codescandy.com/dashuipro/pages/components/tooltips.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/pages/components/tooltips.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:32:59	49671/49671	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-c207%22	https://dashui.codescandy.com/dashuipro/docs/index.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/docs/index.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:33:00	50017/50017	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-c361%22	https://dashui.codescandy.com/dashuipro/docs/environment-setup.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/docs/environment-setup.html	(from https://dashui.codescandy.com/dashuipro/index.html)
14:33:01	51418/51418	---MCZ	200	added ('OK')	text/html	etag:W/%2264266d78-c8da%22	https://dashui.codescandy.com/dashuipro/docs/working-with-gulp.html	/home/tamuzo77/websites/dashUI/dashui.codescandy.com/dashuipro/docs/working-with-gulp.html	(from https://dashui.codescandy.com/dashuipro/index.html)
